epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,108809,0.84305,0.53873,1.1013,0.72237,0.71045,0.65077,0.52667,0.90753,2.07406,1.15643,0.001981,0.001981,0.001981
83,110194,0.84481,0.53172,1.10123,0.7228,0.71045,0.65356,0.52834,0.91016,2.06971,1.15671,0.001882,0.001882,0.001882
84,111576,0.84867,0.5394,1.10232,0.72138,0.71045,0.65578,0.5297,0.91302,2.07567,1.15731,0.001783,0.001783,0.001783
85,112944,0.8403,0.53492,1.0954,0.72767,0.7052,0.65462,0.52883,0.91574,2.069,1.15738,0.001684,0.001684,0.001684
86,114324,0.83568,0.52747,1.09609,0.72666,0.70469,0.65616,0.52943,0.91823,2.07852,1.1576,0.001585,0.001585,0.001585
87,116084,0.83382,0.52253,1.09013,0.72526,0.70431,0.6551,0.52891,0.91944,2.08309,1.1574,0.001486,0.001486,0.001486
88,118440,0.83391,0.52156,1.09023,0.72576,0.70437,0.65315,0.52805,0.92035,2.08072,1.15752,0.001387,0.001387,0.001387
89,120480,0.8285,0.51298,1.09152,0.725,0.70593,0.65362,0.52898,0.92063,2.0811,1.15715,0.001288,0.001288,0.001288
90,121759,0.82503,0.51803,1.0889,0.73041,0.70086,0.65585,0.53092,0.92064,2.08169,1.1571,0.001189,0.001189,0.001189
91,123036,0.74224,0.40378,1.02176,0.73423,0.70274,0.65659,0.5316,0.92095,2.07794,1.15717,0.00109,0.00109,0.00109
92,124338,0.73832,0.39024,1.0197,0.7338,0.70231,0.65898,0.53454,0.9208,2.07335,1.15731,0.000991,0.000991,0.000991
93,125649,0.72544,0.38552,1.0103,0.73262,0.70188,0.66089,0.53601,0.92158,2.06094,1.15759,0.000892,0.000892,0.000892
94,126931,0.72366,0.38445,1.00957,0.73532,0.70188,0.66325,0.5379,0.91886,2.05556,1.15631,0.000793,0.000793,0.000793
95,128209,0.71712,0.37805,1.00546,0.73642,0.70096,0.66455,0.53954,0.9166,2.0494,1.15552,0.000694,0.000694,0.000694
96,129612,0.71415,0.37466,1.00696,0.7352,0.70096,0.66677,0.54161,0.91561,2.0459,1.15543,0.000595,0.000595,0.000595
97,131322,0.71177,0.37437,1.00803,0.72645,0.70411,0.66861,0.54311,0.91658,2.04015,1.15709,0.000496,0.000496,0.000496
98,132908,0.70869,0.37047,1.00492,0.73179,0.70291,0.66917,0.54408,0.9165,2.03712,1.15748,0.000397,0.000397,0.000397
99,134184,0.70565,0.36956,1.00352,0.72997,0.70188,0.6694,0.54523,0.91563,2.03543,1.15731,0.000298,0.000298,0.000298
100,135438,0.70456,0.36632,1.00425,0.72977,0.70188,0.671,0.54652,0.91499,2.03187,1.15774,0.000199,0.000199,0.000199
